virksomhet,status,navn,kostnadsramme_2026,aar_ferdig,sluttkostnad,stat_doc,annen_finansiering,landsdel_doc,merknad,merknad2,landsdel,Faktor 2019-2026,MVA justering,stat
Statens vegvesen,Ferdig,E6 Bognes–Skarberget og rv. 827 Drag–Kjøpsvik,1280,2022,1052,1052,,Nord-Norge,,,Nord-Norge,1,1,1052
Statens vegvesen,Ferdig,Rv. 3/rv. 25 Ommangsvollen–Grundset/Basthjørnet,,2022,7689,2637,5052,Østlandet,Kostnadsramme ikke oppgitt i dokumentet,,Østlandet,1,1,2637
Statens vegvesen,Ferdig,Rv. 5 Kjøsnesfjorden,1844,2022,1307,1307,,Vestlandet,,,Vestlandet,1,1,1307
Statens vegvesen,Ferdig,E16 Gudvanga- og Flenjatunnelene,1318,2023,1281,1281,,Vestlandet,,,Vestlandet,1,1,1281
Statens vegvesen,Ferdig,Rv. 706 Nydalsbrua med tilknytingar,1903,2023,1880,855,1025,Trøndelag,,,Trøndelag,1,1,855
Statens vegvesen,Ferdig,E39 Kristianborg–Bergen sentrum (Sykkelstamveien),1413,2024,1417,1417,,Vestlandet,,,Vestlandet,1,1,1417
Statens vegvesen,Ferdig,"E39 Sykkelstamveien, Sørmarka–Smeaheia",1607,2024,1184,1184,,Vestlandet,,,Vestlandet,1,1,1184
Statens vegvesen,Ferdig,E39 Lønset–Hjelset,1957,2024,1749,780,969,Vestlandet,,,Vestlandet,1,1,780
Statens vegvesen,Ferdig,E16 Bjørum–Skaret,6886,2025,6331,3356,2975,Østlandet,,,Østlandet,1,1,3356
Statens vegvesen,Ferdig,"Rv. 4 Roa–Gran, inkl. Jaren–Amundrund/Almenningseidet–Lygnebakken",2950,2025,2681,950,1730,Østlandet,,,Østlandet,1,1,950
Statens vegvesen,Ferdig,"E16 Dalevåg-, Dalseid-, Trollkone-, Hernes- og Hyvingtunnelene",1272,2025,838,837,,Vestlandet,,,Vestlandet,1,1,837
Statens vegvesen,Ferdig,E6 Helgeland sør,6807,2025,7742,6849,893,Nord-Norge,,,Nord-Norge,1,1,6849
Statens vegvesen,Under bygging,E39 Betna–Vinjeøra–Stormyra,3404,2026,,3242,,Trøndelag,,,Trøndelag,1,1,3242
Statens vegvesen,Under bygging,E8 Sørbotn–Laukslett,3999,,,3718,,Nord-Norge,,,Nord-Norge,1,1,3718
Statens vegvesen,Under bygging,E136 Breivika–Lerstad,3186,,,617,2168,Vestlandet,,,Vestlandet,1,1,617
Statens vegvesen,Under bygging,Ring 1 Hammersborgtunnelen,3666,,,3492,,Østlandet,"I regi av SVV i samarbeid med Statsbygg, finansiert over DFD-budsjettet",,Østlandet,1,1,3492
Statens vegvesen,Under bygging,Rv. 555 Sotrasambandet (OPS),24110,,,16093,8017,Vestlandet,OPS – vedtatt øvre ramme inkl. drift/vedlikehold,,Vestlandet,1,1,16093
Statens vegvesen,Under bygging,E18/E39 Gartnerløkka–Kolsdalen,6128,,,2620,2826,Sørlandet,,,Sørlandet,1,1,2620
Statens vegvesen,Under bygging,E18 Lysaker–Ramstadsletta,24123,,,6527,14973,Østlandet,,,Østlandet,1,1,6527
Statens vegvesen,Under bygging,E10/rv. 85 Tjeldsund–Gullesfjordbotn–Langvassbukt (OPS),23498,,,21893,1605,Nord-Norge,OPS – vedtatt øvre ramme inkl. drift/vedlikehold,,Nord-Norge,1,1,21893
Statens vegvesen,Under bygging,Rv. 555 Damsgård-/Nygårdtunnelene,1304,,,1215,,Vestlandet,,,Vestlandet,1,1,1215
Statens vegvesen,Under bygging,Rv. 70 Vikansvingen–Kontrollplassen,1457,,,22,1229,Vestlandet,,,Vestlandet,1,1,22
Statens vegvesen,Under bygging,Rv. 13 Lovraeidet–Rødsliane,1608,,,1506,,Vestlandet,,,Vestlandet,1,1,1506
Statens vegvesen,Under bygging,E45 Kløfta,2103,,,1874,,Nord-Norge,,,Nord-Norge,1,1,1874
Statens vegvesen,Under bygging,E134 Røldal–Seljestad,5018,,,4140,703,Vestlandet,,,Vestlandet,1,1,4140
Statens vegvesen,Under bygging,E16 Lærdalstunnelen,2958,,,2671,,Vestlandet,,,Vestlandet,1,1,2671
Statens vegvesen,Under bygging,E6 Megården–Sommerset,7421,,,7205,,Nord-Norge,,,Nord-Norge,1,1,7205
Statens vegvesen,Under bygging,E39 Rogfast,28171,,,11334,16965,Vestlandet,,,Vestlandet,1,1,11334
Statens vegvesen,Under bygging,"E134 Oslofjordforbindelsen, trinn 2",8104,,,2713,5374,Østlandet,,,Østlandet,1,1,2713
Statens vegvesen,Under bygging,Fellesprosjektet Vossebanen/E16 Arna–Stanghelle,50373,,,37749,4303,Vestlandet,,,Vestlandet,1,1,37749
Nye Veier AS,Ferdig,E18 Tvedestrand–Arendal,8942,2019,,,2709,Sørlandet,Kostnadsramme = avtalt vederlag mellom selskapet og SD,,Sørlandet,1,1,6233
Nye Veier AS,Ferdig,E6 Kolomoen–Moelv,14468,2020,,,5784,Østlandet,Kostnadsramme = avtalt vederlag mellom selskapet og SD,,Østlandet,1,1,8684
Nye Veier AS,Ferdig,E6 Kvænangsfjellet,2735,2024,,,,Nord-Norge,Kostnadsramme = avtalt vederlag mellom selskapet og SD,,Nord-Norge,1,1,2735
Nye Veier AS,Under bygging,E18 Langangen–Bamble,9546,,,,4420,Sørlandet,Maksimalt bompengebidrag oppgitt,Ligger I Telemark → østlandet,Østlandet,1,1,5126
Nye Veier AS,Under bygging,E39 Kristiansand vest–Lyngdal vest,33581,,,,11291,Sørlandet,Maksimalt bompengebidrag oppgitt,,Sørlandet,1,1,22290
Nye Veier AS,Under bygging,E6 Moelv–Øyer,24607,,,,8428,Østlandet,Maksimalt bompengebidrag oppgitt,,Østlandet,1,1,16179
Nye Veier AS,Under bygging,E6 Nedgård (Ulsberg)–Melhus,23807,,,,8825,Trøndelag,Maksimalt bompengebidrag oppgitt,,Trøndelag,1,1,14982
Nye Veier AS,Under bygging,E6 Ranheim–Åsen,19268,,,,9539,Trøndelag,Maksimalt bompengebidrag oppgitt,,Trøndelag,1,1,9729
Bane NOR SF,Ferdig,Dobbeltspor Langset–Kleverud,5406,2015,4219,,,Østlandet,Beløp i mill. 2019-kroner – må justeres til 2026 kroner ved byggekostnad,"Trolig uten MVA, må multipliseres",Østlandet,1.38,1.22,7103
Bane NOR SF,Ferdig,Holm–Holmestrand–Nykirke,6663,2016,6443,,,Østlandet,Beløp i mill. 2019-kroner – må justeres til 2026 kroner ved byggekostnad,"Trolig uten MVA, må multipliseres",Østlandet,1.38,1.22,10847
Bane NOR SF,Ferdig,Dobbeltspor Farriseidet–Porsgrunn,7575,2018,7448,,,Østlandet,Beløp i mill. 2019-kroner – må justeres til 2026 kroner ved byggekostnad,"Trolig uten MVA, må multipliseres",Østlandet,1.38,1.22,12539
Bane NOR SF,Ferdig,Follobanen,37535,2023,37470,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,45713
Bane NOR SF,Ferdig,Venjar–Eidsvoll–Langset,7898,2024,6202,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,7566
Bane NOR SF,Ferdig,Arna–Fløen,5018,2024,4744,,,Vestlandet,,"Trolig uten MVA, må multipliseres",Vestlandet,1,1.22,5788
Bane NOR SF,Ferdig,Fløen–Bergen/Nygårdstangen,4910,2024,3136,,,Vestlandet,,"Trolig uten MVA, må multipliseres",Vestlandet,1,1.22,3826
Bane NOR SF,Ferdig,Delelektrifisering Trønder- og Meråkerbanen,2727,2025,2394,,,Trøndelag,,"Trolig uten MVA, må multipliseres",Trøndelag,1,1.22,2921
Bane NOR SF,Ferdig,Drammen–Kobbervikdalen,18087,2025,13095,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,15976
Bane NOR SF,Under bygging,ERTMS,38220,,,,,Hele landet,,Hele landet,Hele landet,1,1.22,46628
Bane NOR SF,Under bygging,Kolbotn stasjon,1600,,,,,Østlandet,Kostnadsramme økt til ca. 1 600 mill. 2026-kr (jf. Innst. 75 S 2025–2026),"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,1952
Bane NOR SF,Under bygging,Sandbukta–Moss–Såstad,28519,,,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,34793
Bane NOR SF,Under bygging,Kleverud–Sørli,11190,,,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,13652
Bane NOR SF,Under bygging,Sørli–Åkersvika,9659,,,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,11784
Bane NOR SF,Under bygging,Barkåker–Tønsberg,1984,,,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,2420
Bane NOR SF,Under bygging,Nykirke–Barkåker,9069,,,,,Østlandet,,"Trolig uten MVA, må multipliseres",Østlandet,1,1.22,11064
Avinor AS,Under bygging,Ny lufthavn ved Mo i Rana,5112,,,3902,1210,Nord-Norge,,,Nord-Norge,1,1,3902
Avinor AS,Under bygging,Flytting av Bodø lufthavn,8108,,,4917,3191,Nord-Norge,,,Nord-Norge,1,1,4917
