landsdel,befolkning_2025,kilde
Østlandet,2870000,SSB tabell 06913 (Oslo + Akershus + Innlandet + Vestfold + Telemark + Buskerud)
Vestlandet,1420000,SSB tabell 06913 (Rogaland + Vestland + Møre og Romsdal)
Trøndelag,480000,SSB tabell 06913
Nord-Norge,480000,SSB tabell 06913 (Nordland + Troms + Finnmark)
Sørlandet,320000,SSB tabell 06913 (Agder)
